station_code,station_lat,station_lon,input_source,query_radius_km,api_version,vs30_mps,vs30_valid,vs30_source,vs30_mesh_code,vs30_jcode,vs30_query_distance_km,arv,status,error,api_url
IWTH12,40.1533,141.4245,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,400.3,1,j-shis_meshsearch_avs,6041138324,2,,1.00,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=141.42450000%2C40.15330000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
IWTH13,39.9398,141.5492,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,775.5,1,j-shis_meshsearch_avs,5941742344,1,,0.57,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=141.54920000%2C39.93980000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
IWTH14,39.7435,141.9087,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,775.5,1,j-shis_meshsearch_avs,5941479221,1,,0.57,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=141.90870000%2C39.74350000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
IWTH15,39.6148,141.0929,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,421.3,1,j-shis_meshsearch_avs,5941303734,10,,0.96,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=141.09290000%2C39.61480000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
IWTH16,39.6436,140.9465,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,502.3,1,j-shis_meshsearch_avs,5940377521,8,,0.82,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=140.94650000%2C39.64360000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
IWTH17,39.6442,141.5977,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,775.5,1,j-shis_meshsearch_avs,5941347724,1,,0.57,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=141.59770000%2C39.64420000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
IWTH18,39.463,141.6775,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,489.7,1,j-shis_meshsearch_avs,5941155431,10,,0.84,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=141.67750000%2C39.46300000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
IWTH19,39.4559,141.0001,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,516.8,1,j-shis_meshsearch_avs,5941104031,8,,0.80,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=141.00010000%2C39.45590000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
IWTH20,39.3434,141.0473,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,351.1,1,j-shis_meshsearch_avs,5941001322,8,,1.12,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=141.04730000%2C39.34340000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
IWTH21,39.4734,141.9336,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,287.3,1,j-shis_meshsearch_avs,5941176443,10,,1.33,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=141.93360000%2C39.47340000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
IWTH22,39.334,141.3015,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,775.5,1,j-shis_meshsearch_avs,5941020411,1,,0.57,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=141.30150000%2C39.33400000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
IWTH23,39.2741,141.8233,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,344.9,1,j-shis_meshsearch_avs,5841762544,10,,1.13,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=141.82330000%2C39.27410000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
