event_id,origin_time_jst_raw,origin_timestamp_raw,training_latitude,training_longitude,training_depth_km,training_magnitude,candidate_count,match_status,accepted,origin_time_jst_corrected,origin_timestamp_corrected,origin_time_correction_s,jma_event_id,jma_origin_time_jst,jma_origin_timestamp,jma_latitude,jma_longitude,jma_depth_km,jma_magnitude,jma_region,jma_source_url,jma_source_date,time_diff_s,abs_time_diff_s,horizontal_distance_km,depth_diff_km,magnitude_diff,match_score,second_match_score,score_margin,second_jma_event_id,second_jma_origin_time_jst,second_time_diff_s,second_horizontal_distance_km,second_depth_diff_km,second_magnitude_diff
20240101164500,2024-01-01T16:45:00+09:00,1704095100.0,37.857,137.835,14.0,4.7,1,matched,1,2024-01-01T16:45:32.100+09:00,1704095132.1,32.09999990463257,20240101164532100,2024-01-01T16:45:32.100+09:00,1704095132.1,37.85666666666667,137.835,14.0,4.7,佐渡付近,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,32.09999990463257,32.09999990463257,0.037064975548089636,0.0,0.0,1.0774129919307036,,inf,,,,,,
20240101164800,2024-01-01T16:48:00+09:00,1704095280.0,37.252,136.843,13.0,4.9,1,matched,1,2024-01-01T16:48:15.300+09:00,1704095295.3,15.299999952316284,20240101164815300,2024-01-01T16:48:15.300+09:00,1704095295.3,37.251666666666665,136.84333333333333,13.0,4.9,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,15.299999952316284,15.299999952316284,0.047373452030521644,0.0,0.0,0.5194746888166472,,inf,,,,,,
20240101164900,2024-01-01T16:49:00+09:00,1704095340.0,37.378,136.997,11.0,4.3,2,matched,1,2024-01-01T16:49:46.800+09:00,1704095386.8,46.799999952316284,20240101164946800,2024-01-01T16:49:46.800+09:00,1704095386.8,37.376666666666665,136.99833333333333,11.0,4.4,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,46.799999952316284,46.799999952316284,0.1893712719041055,0.0,0.10000000000000053,1.9312075861246991,7.599020698361706,5.667813112237006,20240101164815300,2024-01-01T16:48:15.300+09:00,-44.700000047683716,19.545103483861233,2.0,0.6000000000000005
20240101165100,2024-01-01T16:51:00+09:00,1704095460.0,37.348,137.052,15.0,4.3,2,matched,1,2024-01-01T16:51:16.100+09:00,1704095476.1,16.09999990463257,20240101165116100,2024-01-01T16:51:16.100+09:00,1704095476.1,37.348333333333336,137.05166666666668,15.0,4.3,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,16.09999990463257,16.09999990463257,0.047349942499144516,0.0,0.0,0.5461366519875812,4.316258599085163,3.770121947097582,20240101164946800,2024-01-01T16:49:46.800+09:00,-73.20000004768372,5.714626320811853,4.0,0.10000000000000053
20240101165200,2024-01-01T16:52:00+09:00,1704095520.0,37.775,137.662,23.0,4.2,2,matched,1,2024-01-01T16:52:25.800+09:00,1704095545.8,25.799999952316284,20240101165225800,2024-01-01T16:52:25.800+09:00,1704095545.8,37.781666666666666,137.645,22.0,4.2,佐渡付近,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,25.799999952316284,25.799999952316284,1.6678719153835058,1.0,0.0,1.293574381487244,4.549338850537975,3.255764469050731,20240101165327800,2024-01-01T16:53:27.800+09:00,87.79999995231628,2.7800275939704937,4.0,0.20000000000000018
20240101165300,2024-01-01T16:53:00+09:00,1704095580.0,37.748,137.68,19.0,3.7,3,matched,1,2024-01-01T16:53:27.800+09:00,1704095607.8,27.799999952316284,20240101165327800,2024-01-01T16:53:27.800+09:00,1704095607.8,37.75,137.66166666666666,19.0,4.0,佐渡付近,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,27.799999952316284,27.799999952316284,1.6271696772420774,0.0,0.2999999999999998,2.2521006005256243,4.075785173741425,1.8236845732158002,20240101165225800,2024-01-01T16:52:25.800+09:00,-34.200000047683716,4.845592527426505,3.0,0.5
20240101165500,2024-01-01T16:55:00+09:00,1704095700.0,37.273,136.723,6.0,4.1,3,matched,1,2024-01-01T16:55:00.200+09:00,1704095700.2,0.20000004768371582,20240101165500200,2024-01-01T16:55:00.200+09:00,1704095700.2,37.27333333333333,136.72333333333333,6.0,4.1,能登半島沖,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,0.20000004768371582,0.20000004768371582,0.04736824865075895,0.0,0.0,0.016140317986275653,4.827156209897819,4.811015891911543,20240101165521100,2024-01-01T16:55:21.100+09:00,21.09999990463257,19.119114398717,3.0,0.0
20240101165600,2024-01-01T16:56:00+09:00,1704095760.0,37.262,136.857,14.0,5.8,1,matched,1,2024-01-01T16:56:48.700+09:00,1704095808.7,48.700000047683716,20240101165648700,2024-01-01T16:56:48.700+09:00,1704095808.7,37.26166666666666,136.85666666666665,14.0,5.8,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,48.700000047683716,48.700000047683716,0.047371013151361045,0.0,0.0,1.6328075375530626,,inf,,,,,,
20240101165900,2024-01-01T16:59:00+09:00,1704095940.0,37.863,137.752,11.0,4.0,2,matched,1,2024-01-01T16:59:55.000+09:00,1704095995.0,55.0,20240101165955000,2024-01-01T16:59:55.000+09:00,1704095995.0,37.86666666666667,137.735,11.0,4.3,佐渡付近,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,55.0,55.0,1.5470219512753,0.0,0.2999999999999998,3.1427377235883927,7.72113087221575,4.578393148627358,20240101170024600,2024-01-01T17:00:24.600+09:00,84.59999990463257,13.672321043639988,5.0,0.5
20240101170000,2024-01-01T17:00:00+09:00,1704096000.0,37.293,136.807,6.0,3.6,2,matched,1,2024-01-01T17:00:40.700+09:00,1704096040.7,40.700000047683716,20240101170040700,2024-01-01T17:00:40.700+09:00,1704096040.7,37.23833333333334,136.74666666666667,10.0,3.6,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,40.700000047683716,40.700000047683716,8.090475106184462,4.0,0.0,3.3747616894930164,5.415713485105516,2.0409517956124996,20240101170012100,2024-01-01T17:00:12.100+09:00,12.099999904632568,8.728567441422145,6.0,0.8000000000000003
20240101170200,2024-01-01T17:02:00+09:00,1704096120.0,37.618,137.352,8.0,5.0,2,matched,1,2024-01-01T17:02:44.700+09:00,1704096164.7,44.700000047683716,20240101170244700,2024-01-01T17:02:44.700+09:00,1704096164.7,37.61833333333333,137.35166666666666,8.0,5.0,能登半島沖,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,44.700000047683716,44.700000047683716,0.04728387377492552,0.0,0.0,1.4994567763444424,6.9981643382985865,5.498707561954144,20240101170240000,2024-01-01T17:02:40.000+09:00,40.0,16.49082169149293,7.0,0.5
