year,event_id,sample_role,knet_station,hinet_station,knet_height_m,match_distance_km,event_magnitude,epicentral_distance_km,acceleration_n_samples,acceleration_finite_fraction,acceleration_contains_theoretical_p,velocity_n_samples,velocity_finite_fraction,velocity_start_minus_p_s,velocity_end_minus_p_s,velocity_median_dt_s,velocity_gap_count,velocity_nonmonotonic_count,velocity_contains_theoretical_p,velocity_covers_requested_window,station_match_distance_km,station_match_threshold_km,station_match_within_threshold,qc_status,qc_fail_reasons,qc_warn_reasons,wave_idx,station_code,sensor_class,station_height_m_hdf5,station_height_m_manifest,record_start_time_jst_hdf5,theoretical_p_time_jst,valid_start_minus_theoretical_p_s,valid_end_minus_theoretical_p_s,p_picks_minus_theoretical_p_s,p_pick_trigger_aligned_minus_theoretical_p_s,p_pick_predicted_aligned_minus_theoretical_p_s,p_pick_repaired_aligned_minus_theoretical_p_s,p_pick_diting_acc_aligned_minus_theoretical_p_s,p_pick_diting_vel_aligned_minus_theoretical_p_s,p_pick_refined_aligned_minus_theoretical_p_s,pga_norm_aligned_loc_minus_theoretical_p_s,archive_checksum_ok,velocity_source,velocity_status,acceleration_pre_p_rms,acceleration_post_p_rms,acceleration_post_pre_ratio,velocity_pre_p_rms_counts,velocity_post_p_rms_counts,velocity_post_pre_ratio,final_pick_minus_theoretical_p_s,velocity_zero_fraction,velocity_unique_fraction,velocity_extreme_repeat_fraction,velocity_min_counts,velocity_max_counts
2009,20091231180300,latest_farthest,MIEH01,N.YOKH,290.0,0.0,3.0,81.89874041286777,14000,1.0,1,24000,1.0,-119.99543642997742,119.99456357955933,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,2,MIEH01,surface,290.0,290.0,2009-12-31T18:03:16+09:00,2009-12-31T18:03:21.175436+09:00,-5.175436496734619,114.81456351280212,0.09456348419189453,9.82456350326538,0.004563570022583008,0.004563570022583008,,0.09456348419189453,0.09456348419189453,10.834563493728638,1,annual_hdf5,loaded,8.045911266824617e-06,0.0003011068338765729,37.4235837173739,714.5339504290818,2497.665504893186,3.4955169077596993,0.09456348419189453,0.0005416666666666666,0.19525,4.1666666666666665e-05,-14782.0,13459.0
2010,20100104064400,earliest_closest,CHBH19,N.HSNH,1.0,0.0,3.6,74.47435595147776,12300,1.0,1,24000,1.0,-119.99856853485107,119.99143147468567,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,20,CHBH19,surface,1.0,1.0,2010-01-04T06:44:00+09:00,2010-01-04T06:44:18.398569+09:00,-18.398568630218506,101.59143137931824,0.38143134117126465,-3.398568630218506,0.0014314651489257812,0.0014314651489257812,,0.38143134117126465,0.38143134117126465,13.921431303024292,1,annual_hdf5,loaded,7.054256416543815e-05,0.000850161797042237,12.051756370074905,106.01248933374238,5960.690682043482,56.22630615981841,0.38143134117126465,0.0,0.20533333333333334,4.1666666666666665e-05,-56391.0,33005.0
2010,20100725171100,midyear_median,KMMH05,N.NMNH,693.0,0.0,3.3,12.94120834478113,12800,1.0,1,24000,1.0,-119.99148440361023,119.99851560592651,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,5,KMMH05,surface,693.0,693.0,2010-07-25T17:11:13+09:00,2010-07-25T17:11:27.861484+09:00,-14.861484289169312,105.12851572036743,-0.0014843940734863281,0.13851571083068848,-0.0014843940734863281,-0.0014843940734863281,-0.011484384536743164,-0.0014843940734863281,-0.0014843940734863281,2.978515625,1,annual_hdf5,loaded,3.7455531135063183e-05,0.007494731578695108,200.09679082294676,60.23416585993455,51579.74398865314,856.3203831625069,-0.0014843940734863281,0.000125,0.23058333333333333,4.1666666666666665e-05,-351176.0,451838.0
2010,20101228220700,latest_farthest,NGN022,N.NGIH,453.0,0.1927620658186798,3.7,80.67596270750718,14220,1.0,1,24000,1.0,-119.9901511669159,119.99984884262085,0.009999990463256836,0,0,1,1,0.1927620658186798,0.5,1,PASS,,,26,NGN022,single_surface,453.0,453.0,2010-12-28T22:07:41+09:00,2010-12-28T22:07:45.190151+09:00,-4.190151214599609,55.799848794937134,0.2998487949371338,10.80984878540039,0.009848833084106445,0.009848833084106445,0.2798488140106201,0.2998487949371338,0.2998487949371338,11.929848670959473,1,annual_hdf5,loaded,1.2004045770533889e-05,0.0014144472534404345,117.8308780621657,254.9822728616329,29251.38865225034,114.71930312631466,0.2998487949371338,0.00075,0.3259166666666667,4.1666666666666665e-05,-167360.0,173950.0
2011,20110101080100,earliest_closest,CHBH13,N.NRTH,-1288.0,0.0,4.7,110.02797014862524,14494,1.0,1,24000,1.0,-119.99605178833008,119.99394822120667,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,40,CHBH13,borehole,-1288.0,-1288.0,2011-01-01T08:00:59+09:00,2011-01-01T08:01:19.936052+09:00,-20.936051845550537,99.0539481639862,-0.44605183601379395,-5.936051845550537,-0.19605183601379395,-0.19605183601379395,-0.4860517978668213,-0.44605183601379395,-0.44605183601379395,13.32394814491272,1,annual_hdf5,loaded,5.7302652514050175e-06,0.0005290219357024442,92.32067146852094,100.90731808003453,17897.20335525451,177.36278890158752,-0.44605183601379395,0.0015416666666666667,0.401625,4.1666666666666665e-05,-81982.0,103021.0
2011,20110621112800,midyear_median,IWTH15,N.YHBH,73.0,0.0,3.4,39.48214775134722,13600,1.0,1,24000,1.0,-119.99632859230042,119.99367141723633,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,5,IWTH15,borehole,73.0,73.0,2011-06-21T11:28:06+09:00,2011-06-21T11:28:15.716329+09:00,-9.716328620910645,110.2736713886261,0.09367132186889648,5.2836713790893555,-0.01632857322692871,-0.01632857322692871,0.023671388626098633,0.09367132186889648,0.09367132186889648,5.883671283721924,1,annual_hdf5,loaded,8.513708557955886e-06,0.0001746036869598525,20.508534649884034,239.238965537763,15490.292700021304,64.74820130241793,0.09367132186889648,4.1666666666666665e-05,0.25908333333333333,4.1666666666666665e-05,-66673.0,71178.0
2011,20111231192900,latest_farthest,MYGH10,N.YMMH,18.0,0.0,3.8,117.66077652738367,14100,1.0,1,24000,1.0,-119.99905586242676,119.99094414710999,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,15,MYGH10,surface,18.0,18.0,2011-12-31T19:29:19+09:00,2011-12-31T19:29:20.819056+09:00,-1.8190557956695557,118.17094421386719,-0.2490558624267578,13.180944204330444,0.0009441375732421875,0.0009441375732421875,-0.2490558624267578,,-0.2490558624267578,13.79094409942627,1,annual_hdf5,loaded,1.4771853724786957e-05,0.0012890044419214435,87.26084524913165,481.4095285830208,13651.721850545691,28.357813960866384,-0.2490558624267578,0.00025,0.34108333333333335,4.1666666666666665e-05,-58942.0,54290.0
2012,20120101002900,earliest_closest,FKSH06,N.INAH,571.9,0.0,4.2,84.90218452356433,14873,1.0,1,24000,1.0,-119.99166560173035,119.9983344078064,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,19,FKSH06,surface,571.9,571.9,2012-01-01T00:29:03+09:00,2012-01-01T00:29:07.721666+09:00,-4.721665620803833,115.26833438873291,-0.281665563583374,10.278334379196167,-0.0016655921936035156,-0.0016655921936035156,-0.32166552543640137,-0.281665563583374,-0.281665563583374,11.068334341049194,1,annual_hdf5,loaded,6.741323869852727e-06,0.001099542349064281,163.10481001831795,43.22109621347817,20186.862344018034,467.06039671716877,-0.281665563583374,0.002625,0.35520833333333335,4.1666666666666665e-05,-76205.0,89392.0
2012,20120601174800,midyear_median,NIGH14,N.SZWH,185.0,0.0,5.1,144.21851092868818,15091,1.0,1,24000,1.0,-119.99769401550293,119.99230599403381,0.009999990463256836,0,0,1,1,0.0,0.5,1,PASS,,,150,NIGH14,surface,185.0,185.0,2012-06-01T17:48:15+09:00,2012-06-01T17:48:30.907694+09:00,-15.907694101333618,104.08230590820312,-0.07769417762756348,-0.9076941013336182,0.0023059844970703125,0.0023059844970703125,-0.04769420623779297,-0.07769417762756348,-0.07769417762756348,19.902305841445923,1,annual_hdf5,loaded,0.0001234598580662528,0.002452861695948719,19.867686018498656,96.65925773180321,94280.68294225847,975.3921678547907,-0.07769417762756348,4.1666666666666665e-05,0.4895,4.1666666666666665e-05,-361079.0,435424.0
2012,20121231071700,latest_farthest,MYGH13,N.MSRH,90.0,0.0,3.7,60.32302202991044,13492,1.0,1,0,0.0,,,,0,0,0,0,0.0,0.5,1,FAIL,velocity_missing,,23,MYGH13,surface,90.0,90.0,2012-12-31T07:17:30+09:00,2012-12-31T07:17:36.919708+09:00,-6.919708013534546,113.0702919960022,0.10029196739196777,8.080291986465454,0.00029206275939941406,0.00029206275939941406,0.09029197692871094,0.10029196739196777,0.10029196739196777,9.350291967391968,1,annual_hdf5,channel_not_found,7.279742541220849e-05,0.004180482046047283,57.42623482047204,,,,0.10029196739196777,,,,,
