year,event_id,knet_station,hinet_station,series,seconds_relative_to_theoretical_p,value
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.951763391494751,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.911763429641724,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.871763467788696,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.831763505935669,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.791763544082642,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.751763582229614,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.711763381958008,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.6717634201049805,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.631763458251953,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.591763496398926,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.551763534545898,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.511763572692871,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.471763372421265,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.431763410568237,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.39176344871521,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.351763486862183,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.311763525009155,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.271763563156128,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.231763601303101,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.191763401031494,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.151763439178467,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.1117634773254395,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.071763515472412,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-6.031763553619385,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.991763591766357,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.951763391494751,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.911763429641724,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.871763467788696,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.831763505935669,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.791763544082642,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.751763582229614,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.711763381958008,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.6717634201049805,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.631763458251953,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.591763496398926,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.551763534545898,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.511763572692871,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.471763372421265,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.431763410568237,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.39176344871521,0.0
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.351763486862183,-2.7928576025497264e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.311763525009155,-4.527364610784651e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.271763563156128,6.117050263475244e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.231763601303101,-5.070543477631663e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.191763401031494,-7.449378172520159e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.151763439178467,1.4818244943979587e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.1117634773254395,-1.5254239936831585e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.071763515472412,-3.530859387733678e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-5.031763553619385,-5.040332554768847e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.991763591766357,-2.234846417019377e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.951763391494751,4.264955732422383e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.911763429641724,4.729527551170014e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.871763467788696,6.754504532796018e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.831763505935669,-8.609584050357937e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.791763544082642,-1.0685075042213439e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.751763582229614,-2.6465366367923824e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.711763381958008,6.389056263469799e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.6717634201049805,6.453297956228396e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.631763458251953,9.171018417586369e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.591763496398926,-2.2733201880950475e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.551763534545898,-2.5878351486637e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.511763572692871,2.7255180059837733e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.471763372421265,-1.890319250084225e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.431763410568237,4.17926681519373e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.39176344871521,-7.173776557203555e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.351763486862183,2.2867041778399777e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.311763525009155,-3.113243027206067e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.271763563156128,-6.405558694326315e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.231763601303101,5.225685761311921e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.191763401031494,1.0633961589816551e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.151763439178467,5.025491475311182e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.1117634773254395,3.9488153766421896e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.071763515472412,-3.5086159641812576e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-4.031763553619385,-2.5530922283239193e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.9917635917663574,-1.4935775930124384e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.951763391494751,2.6340864929893574e-07
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.9117634296417236,2.7705932858378245e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.8717634677886963,4.1853556895600964e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.831763505935669,-7.063191455300072e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.7917635440826416,-1.8566104238146406e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.7517635822296143,-3.662203639042285e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.711763381958008,1.2323098139184298e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.6717634201049805,2.7123692165252768e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.631763458251953,2.1693110874589356e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.591763496398926,-1.4067027797449702e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.5517635345458984,-2.1440255024834612e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.511763572692871,1.471784094462801e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.4717633724212646,-1.4032378533892481e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.4317634105682373,-3.4155817093736964e-05
