year,event_id,path,size_bytes,catalog_event,outer_tar_valid,outer_member_count,has_knet_product,has_kiknet_product,has_image_product,product_class,error
2000,20000816045300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000816045300.tar,460800,1,1,2,1,0,1,knet_only,
2000,20000816045900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000816045900.tar,614400,1,1,2,1,0,1,knet_only,
2000,20000816052100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000816052100.tar,35440640,1,1,3,1,1,1,both,
2000,20000816052700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000816052700.tar,614400,1,1,2,1,0,1,knet_only,
2000,20000816054700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000816054700.tar,440320,1,1,2,1,0,1,knet_only,
2000,20000816060200,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000816060200.tar,460800,1,1,2,1,0,1,knet_only,
2000,20000816062600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000816062600.tar,460800,1,1,2,1,0,1,knet_only,
2000,20000816063100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000816063100.tar,645120,1,1,2,1,0,1,knet_only,
2000,20000816064600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000816064600.tar,614400,1,1,2,1,0,1,knet_only,
2000,20000816070000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000816070000.tar,481280,1,1,2,1,0,1,knet_only,
2000,20000816110000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000816110000.tar,1064960,1,1,2,1,0,1,knet_only,
2000,20000818022700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000818022700.tar,4044800,1,1,3,1,1,1,both,
2000,20000818045300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000818045300.tar,4761600,1,1,3,1,1,1,both,
2000,20000818105200,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000818105200.tar,5734400,1,1,3,1,1,1,both,
2000,20000818110800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000818110800.tar,880640,1,1,2,1,0,1,knet_only,
2000,20000818122600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000818122600.tar,481280,1,1,2,1,0,1,knet_only,
2000,20000818124900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000818124900.tar,471040,1,1,2,1,0,1,knet_only,
2000,20000818152100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000818152100.tar,481280,1,1,2,1,0,1,knet_only,
2000,20000818224700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000818224700.tar,11089920,1,1,3,1,1,1,both,
2000,20000818225100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000818225100.tar,1382400,1,1,3,1,1,1,both,
2000,20000819043600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000819043600.tar,4812800,1,1,3,1,1,1,both,
2000,20000819060500,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000819060500.tar,1812480,1,1,2,0,1,1,kiknet_only,
