scope,dimension,value,samples,targets,baseline_mae,candidate_mae,mae_delta,mae_ci95_low,mae_ci95_high,baseline_rmse,candidate_rmse,rmse_delta,rmse_ci95_low,rmse_ci95_high,target_improved_fraction,sample_improved_fraction
stratum_all_targets,requested_station_count,16,1647,10448,0.2627089342731138,0.23319151941327973,-0.029517414859834085,-0.03520332083006652,-0.023812376030463468,0.3602306949774621,0.30483867448413776,-0.05539202049332431,-0.0641912237904794,-0.04769012836638798,0.5439318529862175,0.5792349726775956
stratum_all_targets,selected_station_count,1,2690,19861,0.31943467727036773,0.3034725559939602,-0.015962121276407504,-0.021810158324566488,-0.009893020794136094,0.4142387351442797,0.37573713667205466,-0.03850159847222506,-0.04611289745594896,-0.031043999358702723,0.4989174764614068,0.5052044609665427
stratum_all_targets,selected_station_count,2,992,4835,0.2570603198791019,0.2506676528395049,-0.006392667039597011,-0.013059574455001943,0.00029371316206964457,0.33361246784822807,0.31559766470486145,-0.01801480314336662,-0.026850344885553646,-0.009336261440877531,0.4808686659772492,0.53125
stratum_all_targets,selected_station_count,3,1843,15897,0.2766313120711907,0.2529390620668829,-0.023692250004307802,-0.029161596021708824,-0.01873949353428049,0.37732998030713183,0.3297866162603679,-0.0475433640467639,-0.05637128876493054,-0.039067404892688576,0.5343146505629993,0.578404774823657
stratum_all_targets,selected_station_count,4,499,2585,0.24830842033493364,0.23360393378591773,-0.014704486549015905,-0.021885416948227022,-0.007527207903972174,0.34181225008418475,0.3081041469523847,-0.03370810313180006,-0.044740945072047594,-0.02283922313878971,0.525725338491296,0.5511022044088176
stratum_all_targets,selected_station_count,5,1181,10998,0.2792320326164649,0.2426989800212122,-0.03653305259525269,-0.042631771727416945,-0.030750958359420773,0.38161603617704376,0.31544451811508517,-0.06617151806195859,-0.07400251099518379,-0.058885138696429605,0.5557374068012366,0.6274343776460627
stratum_all_targets,selected_station_count,6,239,1422,0.23003532653530398,0.2247437073216471,-0.005291619213656867,-0.017828727612714795,0.0059758625138067135,0.31795023859564925,0.29666091438273856,-0.021289324212910687,-0.03898351324360569,-0.004506864680596799,0.49226441631504925,0.49372384937238495
stratum_all_targets,selected_station_count,7,178,1071,0.22189025579143862,0.20246698325073798,-0.019423272540700642,-0.030950673111800407,-0.009378556862335527,0.30049691558849184,0.2665481797992753,-0.03394873578921653,-0.04991995238174634,-0.019930694636637655,0.5378151260504201,0.6292134831460674
stratum_all_targets,selected_station_count,8,838,8338,0.2752405880752912,0.2360965047011759,-0.03914408337411532,-0.04541678714083277,-0.03272868511234304,0.38044196842585326,0.31029329189798965,-0.07014867652786361,-0.0786985944816199,-0.06189424534688549,0.5659630606860159,0.6515513126491647
stratum_all_targets,selected_station_count,9,87,567,0.2507243996824432,0.22908462685856448,-0.021639772823878717,-0.04195139024596742,-0.003677230689722437,0.33782837446710917,0.29160477141460567,-0.046223603052503504,-0.07539575321053162,-0.018327343999560753,0.5361552028218695,0.6091954022988506
