protocol,stratum,value,events,realtime_rows,targets,base_mae,final_mae,delta_mae,base_rmse,final_rmse,delta_rmse,fields_ge5,one_station_fields_ge5
random,actual_station_count,12,369,499,4861,0.21466811514895706,0.21111726812821272,-0.0035508470207443465,0.2802550623265825,0.2754569552058315,-0.004798107120750961,374,0
random,actual_station_count,13,29,34,129,0.20684672695721767,0.1997050776962162,-0.00714164926100147,0.2638305394057133,0.2504475183605056,-0.013383021045207721,8,0
random,actual_station_count,14,24,24,141,0.22233969008827464,0.21940589113596906,-0.002933798952305583,0.2763704250797088,0.27298395312460455,-0.0033864719551042755,12,0
random,actual_station_count,15,39,40,257,0.20974638527585374,0.20529208981689312,-0.0044542954589606165,0.271631326864814,0.2673169115501817,-0.0043144153146322806,21,0
random,actual_station_count,16,252,335,3668,0.2081745437426474,0.20487554218910972,-0.0032990015535376838,0.2728540079031282,0.26890734139411326,-0.003946666509014929,281,0
random,requested_elapsed_time_seconds,1,1310,1821,16348,0.25509119405463054,0.24339119931581682,-0.011699994738813724,0.32792364821005854,0.31842492104617415,-0.00949872716388439,1261,463
random,requested_elapsed_time_seconds,3,1310,1310,11052,0.23169200370741755,0.22411407073038456,-0.007577932977032992,0.3003510901822085,0.29409156481942744,-0.006259525362781071,867,200
random,requested_elapsed_time_seconds,5,1310,1310,10071,0.2314157941453911,0.2258151502821016,-0.005600643863289484,0.30268141216055294,0.2981972473886083,-0.004484164771944632,773,175
random,requested_elapsed_time_seconds,10,1310,1310,9491,0.24817178495178466,0.24203517884518078,-0.006136606106603881,0.3232533142362832,0.31891811425361394,-0.0043351999826692356,704,176
random,requested_elapsed_time_seconds,20,1310,1310,9603,0.2551491933173124,0.24573056399409152,-0.009418629323220878,0.3269337207453,0.31832574277289194,-0.008607977972408087,725,175
random,requested_elapsed_time_seconds,40,1310,1310,9647,0.2461397979550163,0.23984250877568625,-0.006297289179330062,0.3195178236075662,0.3118697308529534,-0.007648092754612812,721,162
random,requested_elapsed_time_seconds,90,1310,1310,9442,0.2475477993224047,0.2427388873409021,-0.0048089119815026005,0.3224045874143249,0.3160909394911259,-0.006313647923198995,711,143
normal,target_type,input,1383,9681,63651,0.09845222185262353,0.09451995564521443,-0.0039322662074091075,0.15509629516596182,0.1483215674256521,-0.006774727740309711,5663,0
normal,target_type,triggered_noninput,257,892,4003,0.18625401511695072,0.17956730044344982,-0.006686714673500904,0.23782527533367925,0.22688561969125925,-0.010939655642419999,404,0
normal,target_type,untriggered,1290,3869,22116,0.21473664775965287,0.2028722622147872,-0.011864385544865658,0.2752065084938971,0.2605197334457221,-0.014686775048175005,2090,189
normal,observable_route,observed_unique,1383,9681,63651,0.09845222185262353,0.09451995564521443,-0.0039322662074091075,0.15509629516596182,0.1483215674256521,-0.006774727740309711,5663,0
normal,observable_route,transport,1290,4523,26119,0.21037139723441312,0.19930054193565463,-0.01107085529875848,0.2698137083163067,0.2556522452871697,-0.014161463029137011,2525,189
normal,observable_route,ambiguous_transport,0,0,0,,,,,,,0,0
normal,actual_station_count,1,570,1230,3736,0.2763750859108959,0.25082818279715907,-0.025546903113736807,0.3386721398413769,0.3102763807009393,-0.02839575914043757,234,234
normal,actual_station_count,2,590,1064,5405,0.2138008816900127,0.19923671491024758,-0.01456416677976513,0.27697279997455393,0.2595917420559675,-0.017381057918586407,357,0
normal,actual_station_count,3,538,942,5817,0.18742455406107575,0.17733120408420044,-0.010093349976875304,0.2506881131021515,0.2406147680477702,-0.010073345054381289,369,0
normal,actual_station_count,4,464,782,5453,0.1684929748986514,0.1606970142092865,-0.007795960689364889,0.22798498573553513,0.21757512802547518,-0.01040985771005995,370,0
normal,actual_station_count,5,345,575,4154,0.15379497199061473,0.14544349182110153,-0.008351480169513203,0.21319462049955015,0.2006703788226587,-0.012524241676891451,575,0
normal,actual_station_count,6,309,478,4175,0.14542805192289418,0.13874321475290433,-0.0066848371699898546,0.2062720654963891,0.19689919422727967,-0.009372871269109434,478,0
normal,actual_station_count,7,291,443,4237,0.13003747084499553,0.1251320975227155,-0.004905373322280027,0.18450301392887944,0.17643398038387728,-0.008069033545002158,443,0
normal,actual_station_count,8,229,331,3407,0.13498627056296897,0.1305184860267937,-0.004467784536175273,0.19368568234106187,0.18680928544045852,-0.006876396900603349,331,0
normal,actual_station_count,9,227,324,3559,0.12096351572737744,0.11484637398485335,-0.00611714174252409,0.17744589928016893,0.16770204418859383,-0.009743855091575104,324,0
normal,actual_station_count,10,201,285,3321,0.11679879441233092,0.11293029423606227,-0.0038685001762686494,0.17055709633714328,0.16492984542923864,-0.005627250907904641,285,0
normal,actual_station_count,11,203,311,3772,0.10683992001734682,0.1028161620674803,-0.004023757949866522,0.15931205192293862,0.15239040852366806,-0.006921643399270566,311,0
normal,actual_station_count,12,172,256,3327,0.11392171846141158,0.10973671414540324,-0.004185004316008337,0.18022892959646325,0.17245466988701735,-0.0077742597094458965,256,0
normal,actual_station_count,13,165,246,3347,0.10209207355999478,0.09862999715916045,-0.0034620764008343324,0.15874654397660456,0.15471485364284265,-0.0040316903337619114,246,0
normal,actual_station_count,14,142,212,3030,0.09099420094562898,0.08789316689136066,-0.0031010340542683146,0.14312440635613194,0.1367238968391664,-0.006400509516965552,212,0
