protocol,population,row_index,event_id,requested_elapsed_time_seconds,actual_station_count,n_targets,eligible_ge5,truth_p95_p05_range,base_p95_p05_range,final_p95_p05_range,base_range_ratio,final_range_ratio,base_range_abs_error,final_range_abs_error,base_pairwise_delta_mae,final_pairwise_delta_mae,base_pairwise_delta_rmse,final_pairwise_delta_rmse,base_field_mean_error,final_field_mean_error,base_centered_error_mae,final_centered_error_mae,base_centered_error_rmse,final_centered_error_rmse,truth_ptp_range_diagnostic,base_ptp_range_diagnostic,final_ptp_range_diagnostic
normal,noninput,2290,20080813104500,3.0,5,2,False,0.14695973396301287,0.010955643653869807,0.012338268756866277,0.07454860837341434,0.08395679839738686,0.13600409030914307,0.1346214652061466,0.15111565589904785,0.14957940578460693,0.15111565589904785,0.14957940578460693,0.30911946296691895,0.2657584547996521,0.07555782794952393,0.07478970289230347,0.07555782794952393,0.07478970289230347,0.16328859329223633,0.012172937393188477,0.013709187507629395
normal,noninput,2291,20080813104500,5.0,9,2,False,0.14695973396301287,0.04117941856384277,0.041546988487243475,0.28020885349593033,0.2827100142798306,0.1057803153991701,0.1054127454757694,0.2090435028076172,0.20945191383361816,0.2090435028076172,0.20945191383361816,0.16345226764678955,0.14791274070739746,0.1045217514038086,0.10472595691680908,0.1045217514038086,0.10472595691680908,0.16328859329223633,0.04575490951538086,0.046163320541381836
normal,noninput,2296,20080813211800,1.0,4,6,True,0.6059182286262512,0.429591104388237,0.421269491314888,0.7089918805747332,0.6952579926007472,0.17632712423801422,0.18464873731136322,0.17045189142227174,0.16153371731440228,0.19797048333063397,0.1866814646987797,0.21450915932655334,0.19821583231290182,0.11415228247642517,0.10939901073773702,0.1277893974966964,0.12050236730399694,0.7344064712524414,0.49489670991897583,0.49733132123947144
normal,noninput,2297,20080813211800,3.0,7,3,False,0.3289602756500245,0.13093267679214482,0.12843328714370728,0.3980197199598713,0.3904218735527367,0.19802759885787968,0.20052698850631723,0.14668711026509604,0.14853851000467935,0.15560245743864595,0.15779024548957618,0.015296061833699545,0.03947786490122477,0.07397471533881293,0.07664367887708876,0.08983712068876952,0.09110024070890395,0.365511417388916,0.14548075199127197,0.14270365238189697
normal,noninput,2304,20080813215200,3.0,4,2,False,0.04562941789627084,0.14199786186218244,0.1547083139419554,3.111980568873036,3.3905388469704594,0.0963684439659116,0.10907889604568455,0.2084747552871704,0.22259747982025146,0.2084747552871704,0.22259747982025146,0.0018092989921569824,-0.03770226240158081,0.1042373776435852,0.11129873991012573,0.1042373776435852,0.11129873991012573,0.05069935321807861,0.1577754020690918,0.17189812660217285
normal,noninput,2317,20080816172000,1.0,3,12,True,0.5092212557792664,0.4032735824584961,0.37640753984451303,0.7919417696760567,0.7391826943054308,0.10594767332077026,0.13281371593475333,0.22778118921048712,0.23011019013144754,0.27882976150798744,0.27954117763937386,0.27889375885327655,0.22489176193873087,0.14788461724917093,0.152643620967865,0.18876864090386464,0.1892502719016197,0.5494697093963623,0.40789854526519775,0.3806413412094116
normal,noninput,2318,20080816172000,3.0,7,4,False,0.14053339958190936,0.0947666972875596,0.0928871989250184,0.6743357633807555,0.6609617301037356,0.04576670229434976,0.04764620065689096,0.11206858356793721,0.11792266368865967,0.1234897085634342,0.12942968051077536,0.42357103526592255,0.3838106393814087,0.06363846361637115,0.06878149509429932,0.07562169361635401,0.07925916870571201,0.14959025382995605,0.10467809438705444,0.10328304767608643
normal,noninput,2319,20080816172000,5.0,15,7,True,0.5422746539115904,0.31208227872848493,0.29349850416183454,0.5755059294719779,0.5412358885755427,0.23019237518310542,0.24877614974975581,0.26607221648806617,0.2567599500928606,0.35497570180081317,0.33524715985441034,0.24292474133627756,0.2154122761317662,0.14486905020110458,0.14071755019985902,0.23238614619604264,0.21947078379311372,0.6541136503219604,0.3716397285461426,0.34318649768829346
normal,noninput,2331,20080820151300,1.0,7,10,True,1.1435812398791312,0.6148977488279341,0.6631906896829604,0.5376948548866757,0.579924422118935,0.528683491051197,0.48039055019617083,0.2906422754128774,0.26232669154802957,0.35016597994402215,0.3233699136934329,0.17056293785572052,0.1386967808008194,0.18938450515270233,0.16681066632270813,0.23489848036879848,0.2169231326690268,1.1939350068569183,0.7780854105949402,0.7748242020606995
normal,noninput,2332,20080820151300,3.0,19,8,True,0.5002134740352626,0.3541206538677215,0.37874761819839464,0.7079390545220654,0.7571719632880076,0.1460928201675411,0.12146585583686798,0.17428285309246608,0.21390079174722945,0.21109039505478636,0.2611110427298179,0.24122799932956696,0.225693479180336,0.10756341740489006,0.13612906634807587,0.13962317236733585,0.1727087209089645,0.671737551689148,0.3615915775299072,0.402543306350708
